calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,SDWPF-SCADA,43,LUBE-NN,48,12704,134.12701601585752,113.0366628673575,155.8326630470134,0.0,True
0.88,SDWPF-SCADA,43,RQR-MLP,12,12704,170.76413119650007,161.43511200827973,179.7997573684385,0.0,True
0.88,SDWPF-SCADA,43,RQR-MLP,24,12704,170.76413119650007,159.0416488390125,182.76674185937236,0.0,True
0.88,SDWPF-SCADA,43,RQR-MLP,48,12704,170.76413119650007,155.87587532618784,185.9588767835415,0.0,True
0.88,SDWPF-SCADA,43,KDE,12,12704,155.2229565793381,142.82633864152942,167.87775270890828,0.0,True
0.88,SDWPF-SCADA,43,KDE,24,12704,155.2229565793381,139.02663469248515,170.34227195891086,0.0,True
0.88,SDWPF-SCADA,43,KDE,48,12704,155.2229565793381,134.77269585567998,175.41337523325262,0.0,True
0.88,WPF-SCADA,44,MLP-QR,12,4895,141.73274148350717,114.48195392737227,171.5897035988796,0.0,True
0.88,WPF-SCADA,44,MLP-QR,24,4895,141.73274148350717,112.25198499233414,173.73067849584933,0.0,True
0.88,WPF-SCADA,44,MLP-QR,48,4895,141.73274148350717,110.2143188283295,175.62128813995886,0.0,True
0.88,WPF-SCADA,44,LSTM-QR,12,4895,112.33560817823712,87.34546107602922,138.20689042680718,0.0,True
0.88,WPF-SCADA,44,LSTM-QR,24,4895,112.33560817823712,85.54953238388856,140.7170589017624,0.0,True
0.88,WPF-SCADA,44,LSTM-QR,48,4895,112.33560817823712,86.61480243375036,142.1411455888913,0.0,True
0.88,WPF-SCADA,44,GRU-QR,12,4895,96.26202069634193,75.36778343660474,118.65174598015851,0.0,True
0.88,WPF-SCADA,44,GRU-QR,24,4895,96.26202069634193,73.27959027205594,120.84831686189396,0.0,True
0.88,WPF-SCADA,44,GRU-QR,48,4895,96.26202069634193,73.09017124585161,122.95422984808042,0.0,True
0.88,WPF-SCADA,44,CNN-QR,12,4895,165.70633160256997,140.1738579014592,193.8292374929052,0.0,True
0.88,WPF-SCADA,44,CNN-QR,24,4895,165.70633160256997,139.11903301281876,194.94840600018603,0.0,True
0.88,WPF-SCADA,44,CNN-QR,48,4895,165.70633160256997,137.01256730653415,195.36293237438727,0.0,True
0.88,WPF-SCADA,44,Transformer-QR,12,4895,139.39717960221287,111.00083987741597,171.0720274421606,0.0,True
0.88,WPF-SCADA,44,Transformer-QR,24,4895,139.39717960221287,108.1902800614354,175.50725964617314,0.0,True
0.88,WPF-SCADA,44,Transformer-QR,48,4895,139.39717960221287,107.54322795443198,174.75062824767505,0.0,True
0.88,WPF-SCADA,44,SQR,12,4895,153.11403190760862,120.52194148982265,188.25316954740336,0.0,True
0.88,WPF-SCADA,44,SQR,24,4895,153.11403190760862,117.05627510047422,191.81640415444923,0.0,True
0.88,WPF-SCADA,44,SQR,48,4895,153.11403190760862,118.23792853786948,194.48515209755197,0.0,True
0.88,WPF-SCADA,44,LUBE-NN,12,4895,380.26183371928664,330.428845205648,433.5947801295778,0.0,True
0.88,WPF-SCADA,44,LUBE-NN,24,4895,380.26183371928664,330.3164405808726,435.1543350475338,0.0,True
0.88,WPF-SCADA,44,LUBE-NN,48,4895,380.26183371928664,333.31012829991965,433.86037564504613,0.0,True
0.88,WPF-SCADA,44,RQR-MLP,12,4895,292.1579455616282,271.6149536159309,312.786823613573,0.0,True
0.88,WPF-SCADA,44,RQR-MLP,24,4895,292.1579455616282,265.717257388527,316.31561137541325,0.0,True
0.88,WPF-SCADA,44,RQR-MLP,48,4895,292.1579455616282,261.30282952500556,320.8897277866321,0.0,True
0.88,WPF-SCADA,44,KDE,12,4895,224.58076307162324,182.50996217004857,267.34326945864996,0.0,True
0.88,WPF-SCADA,44,KDE,24,4895,224.58076307162324,180.64680930257452,270.6289173457425,0.0,True
0.88,WPF-SCADA,44,KDE,48,4895,224.58076307162324,181.57098119001222,270.3890802132876,0.0,True
0.88,Longyuan-SCADA,44,MLP-QR,12,5242,14.180387340125034,11.023733746145846,17.446210027778022,0.0,True
0.88,Longyuan-SCADA,44,MLP-QR,24,5242,14.180387340125034,10.529493347864394,18.141601450285897,0.0,True
0.88,Longyuan-SCADA,44,MLP-QR,48,5242,14.180387340125034,9.910788642072987,18.82444812061676,0.0,True
0.88,Longyuan-SCADA,44,LSTM-QR,12,5242,6.914353736708611,5.146545787168704,8.723043008361868,0.0,True
0.88,Longyuan-SCADA,44,LSTM-QR,24,5242,6.914353736708611,4.805860753916275,9.11127459823698,0.0,True
0.88,Longyuan-SCADA,44,LSTM-QR,48,5242,6.914353736708611,4.531112564751685,9.424270700053011,0.0,True
0.88,Longyuan-SCADA,44,GRU-QR,12,5242,8.367081778234127,6.444732195882568,10.422273285422602,0.0,True
0.88,Longyuan-SCADA,44,GRU-QR,24,5242,8.367081778234127,6.073677843520314,10.76947932277004,0.0,True
0.88,Longyuan-SCADA,44,GRU-QR,48,5242,8.367081778234127,5.752713428977244,11.337067298559866,0.0,True
0.88,Longyuan-SCADA,44,CNN-QR,12,5242,17.955879927500202,14.770692544554718,21.391196762974232,0.0,True
0.88,Longyuan-SCADA,44,CNN-QR,24,5242,17.955879927500202,14.135088040527611,22.41116711572125,0.0,True
0.88,Longyuan-SCADA,44,CNN-QR,48,5242,17.955879927500202,13.28383373609257,22.881010270318832,0.0,True
0.88,Longyuan-SCADA,44,Transformer-QR,12,5242,11.263720116875454,8.327420349414,14.232400548999339,0.0,True
0.88,Longyuan-SCADA,44,Transformer-QR,24,5242,11.263720116875454,7.791539655210225,14.908107843766546,0.0,True
0.88,Longyuan-SCADA,44,Transformer-QR,48,5242,11.263720116875454,7.371317273949176,15.428205944026349,0.0,True
0.88,Longyuan-SCADA,44,SQR,12,5242,14.866820533327454,10.857109909683455,19.290051604854565,0.0,True
0.88,Longyuan-SCADA,44,SQR,24,5242,14.866820533327454,10.015244664885715,20.163425454070936,0.0,True
0.88,Longyuan-SCADA,44,SQR,48,5242,14.866820533327454,9.164210246719962,21.537185181019552,0.0,True
0.88,Longyuan-SCADA,44,LUBE-NN,12,5242,19.830389337929002,14.551019469839341,25.724914330810307,0.0,True
0.88,Longyuan-SCADA,44,LUBE-NN,24,5242,19.830389337929002,13.449103061264138,27.023997046246137,0.0,True
0.88,Longyuan-SCADA,44,LUBE-NN,48,5242,19.830389337929002,11.678927633608629,28.985146235164365,0.0,True
0.88,Longyuan-SCADA,44,RQR-MLP,12,5242,13.002101420810412,10.4446263910386,15.51417877624072,0.0,True
0.88,Longyuan-SCADA,44,RQR-MLP,24,5242,13.002101420810412,9.811089324041523,16.1549769219075,0.0,True
0.88,Longyuan-SCADA,44,RQR-MLP,48,5242,13.002101420810412,9.191578961692208,16.324048767968563,0.0,True
0.88,Longyuan-SCADA,44,KDE,12,5242,16.596542782657977,13.018915369964564,19.913013014998974,0.0,True
0.88,Longyuan-SCADA,44,KDE,24,5242,16.596542782657977,12.464187716018694,21.015605074428773,0.0,True
0.88,Longyuan-SCADA,44,KDE,48,5242,16.596542782657977,11.927293645112126,22.317926048986873,0.0,True
