calibration_target,public_dataset,seed,baseline,block_length,n_test,mean_winkler_baseline_minus_ours,ci95_low,ci95_high,p_two_sided_block_bootstrap,ours_significantly_lower_95
0.88,SDWPF-SCADA,44,CNN-QR,24,12704,103.18443236899537,88.74864748568565,118.22271475335639,0.0,True
0.88,SDWPF-SCADA,44,CNN-QR,48,12704,103.18443236899537,84.14873425694282,122.00237402882142,0.0,True
0.88,SDWPF-SCADA,44,GRU-QR,12,12704,-21.70505713963515,-31.955637039659482,-11.089466729220389,0.0,False
0.88,SDWPF-SCADA,44,GRU-QR,24,12704,-21.70505713963515,-35.09095166820184,-8.565546964237537,0.0,False
0.88,SDWPF-SCADA,44,GRU-QR,48,12704,-21.70505713963515,-36.945166618055545,-6.08936812720923,0.009,False
0.88,SDWPF-SCADA,44,KDE,12,12704,105.93826634808212,93.29219209781346,118.69902448511773,0.0,True
0.88,SDWPF-SCADA,44,KDE,24,12704,105.93826634808212,90.92039864679495,120.10979081837354,0.0,True
0.88,SDWPF-SCADA,44,KDE,48,12704,105.93826634808212,86.97098003458642,124.35226431806842,0.0,True
0.88,SDWPF-SCADA,44,LSTM-QR,12,12704,-6.536377094017138,-16.975592911519882,3.3228626154556706,0.163,False
0.88,SDWPF-SCADA,44,LSTM-QR,24,12704,-6.536377094017138,-19.34855347197843,6.3396850254833765,0.328,False
0.88,SDWPF-SCADA,44,LSTM-QR,48,12704,-6.536377094017138,-21.841346075691927,8.552139582100313,0.398,False
0.88,SDWPF-SCADA,44,LUBE-NN,12,12704,143.99355733150838,129.63363282681044,158.28625513775935,0.0,True
0.88,SDWPF-SCADA,44,LUBE-NN,24,12704,143.99355733150838,125.95202583498276,161.39556864850815,0.0,True
0.88,SDWPF-SCADA,44,LUBE-NN,48,12704,143.99355733150838,122.09460226946986,166.15357604949577,0.0,True
0.88,SDWPF-SCADA,44,MLP-QR,12,12704,15.100116561013166,4.289259902468447,25.247151192182255,0.004,True
0.88,SDWPF-SCADA,44,MLP-QR,24,12704,15.100116561013166,1.9733025617061897,27.822474524293874,0.028,True
0.88,SDWPF-SCADA,44,MLP-QR,48,12704,15.100116561013166,-0.5207359287844415,31.569255927357478,0.062,False
0.88,SDWPF-SCADA,44,RQR-MLP,12,12704,140.0535353990243,129.16844713969786,150.3367220586323,0.0,True
0.88,SDWPF-SCADA,44,RQR-MLP,24,12704,140.0535353990243,126.29907129719047,153.97257961289313,0.0,True
0.88,SDWPF-SCADA,44,RQR-MLP,48,12704,140.0535353990243,122.41036866296791,156.60657676714095,0.0,True
0.88,SDWPF-SCADA,44,SQR,12,12704,50.73665722500692,39.525475886720194,61.93871984949636,0.0,True
0.88,SDWPF-SCADA,44,SQR,24,12704,50.73665722500692,36.96068188340917,63.39594268923122,0.0,True
0.88,SDWPF-SCADA,44,SQR,48,12704,50.73665722500692,34.93821270531774,65.94380128368559,0.0,True
0.88,SDWPF-SCADA,44,Transformer-QR,12,12704,-21.677608339782882,-32.57855433473099,-10.786975633935642,0.0,False
0.88,SDWPF-SCADA,44,Transformer-QR,24,12704,-21.677608339782882,-34.682427901329575,-7.93896011220758,0.001,False
0.88,SDWPF-SCADA,44,Transformer-QR,48,12704,-21.677608339782882,-37.03726706626347,-4.774322544797586,0.014,False
0.88,WPF-SCADA,42,CNN-QR,12,4895,205.19166998709272,176.599539506936,237.62473848776102,0.0,True
0.88,WPF-SCADA,42,CNN-QR,24,4895,205.19166998709272,175.01219802183908,239.3365251855575,0.0,True
0.88,WPF-SCADA,42,CNN-QR,48,4895,205.19166998709272,174.52744655299261,240.2778204604857,0.0,True
0.88,WPF-SCADA,42,GRU-QR,12,4895,94.14605028376741,75.1266069068356,115.35806271952491,0.0,True
0.88,WPF-SCADA,42,GRU-QR,24,4895,94.14605028376741,72.94646716809056,118.14897116209428,0.0,True
0.88,WPF-SCADA,42,GRU-QR,48,4895,94.14605028376741,73.73498946652988,116.79715319482702,0.0,True
0.88,WPF-SCADA,42,KDE,12,4895,221.30342081615913,182.80656474648072,263.2470684038301,0.0,True
0.88,WPF-SCADA,42,KDE,24,4895,221.30342081615913,178.87784084948328,264.3303406007304,0.0,True
0.88,WPF-SCADA,42,KDE,48,4895,221.30342081615913,178.99502730555085,265.6332995104724,0.0,True
